formula,BG,fidelity,fidelity_name,fidelity_id
AgPm,0.0,0,pbe,0
Na14In4Si9Ge4(SO16)3,2.4142,0,pbe,0
Ba3TiF12,0.716499999999999,0,pbe,0
Si2FePu,0.0,0,pbe,0
P2KNi2Eu,0.0,0,pbe,0
Ni5Te,0.0,0,pbe,0
Y2AgTl2,0.0,0,pbe,0
Sn7Er3,0.0,0,pbe,0
Pb5I2F8,2.906816,0,pbe,0
RbPtO3,0.0,0,pbe,0
Al2CaSn2,0.0,0,pbe,0
P2Ni2Tb,0.0,0,pbe,0
CrHgN6Cl5,0.5129,0,pbe,0
ScH8(NF2)3,0.0,0,pbe,0
Ag3Tl,0.0,0,pbe,0
Na2CdH4(SeO5)2,2.8694,0,pbe,0
AlNiY,0.0,0,pbe,0
O3Na2Pu,0.0,0,pbe,0
Cu4TaAu,0.1863,0,pbe,0
LiMgZnIn,0.0,0,pbe,0
Cd4Pb,0.0,0,pbe,0
Hf20Si12B,0.0,0,pbe,0
InGdPt2,0.0,0,pbe,0
U(Al10V)2,0.0,0,pbe,0
Ni2GeRu,0.0,0,pbe,0
AsSePr,0.0,0,pbe,0
Se3La4Bi,0.0,0,pbe,0
MoRh4,0.0,0,pbe,0
MgDyAu,0.0,0,pbe,0
GeAs,0.0,0,pbe,0
Sr4Ca(SO4)4,0.3616,0,pbe,0
NiGe2In3Tb3,0.0,0,pbe,0
Te2TlTh,0.0,0,pbe,0
YbGdAg2,0.0,0,pbe,0
F6ScLu,6.8491,0,pbe,0
AlCo2Ce,0.0,0,pbe,0
H5RuCe2,0.0,0,pbe,0
BaCuTeF,0.9884,0,pbe,0
Rb2Ti(SiO3)3,3.1316,0,pbe,0
NaNp3F13,0.0,0,pbe,0
Ba6Ge25,0.0823,0,pbe,0
MgPNi,0.0,0,pbe,0
Hg11As4Br16Ga4,0.8894289999999999,0,pbe,0
Hf(US)3,0.0,0,pbe,0
O1K4Ru2Cl10,0.599232,0,pbe,0
NdTe,0.0,0,pbe,0
O2ZnRb,0.0,0,pbe,0
U3N,0.0,0,pbe,0
CeBi2(Rh2O5)3,0.0,0,pbe,0
Ga(SiNi3)2,0.0,0,pbe,0
Sr3PdIn3Sn2,0.0,0,pbe,0
O7La3Ta,3.4864,0,pbe,0
Pd2InNd2,0.0,0,pbe,0
AgNdAu2,0.0,0,pbe,0
Al2CaPd2,0.0,0,pbe,0
CuBr6Rb2Au,0.3751,0,pbe,0
P2Rb2Pt,0.5784,0,pbe,0
RbMg,0.0,0,pbe,0
Ni2Sn2Pr,0.0,0,pbe,0
LuZrF7,5.8374,0,pbe,0
H3CuTa,0.0,0,pbe,0
Zr5I18,0.0,0,pbe,0
Cs12Cr18O60,2.078098,0,pbe,0
Mn6GaGe,0.0,0,pbe,0
AlGeCs,0.0,0,pbe,0
Cl2BrAg,0.6986,0,pbe,0
CSi2Fe2U2,0.0,0,pbe,0
Co6As4In,0.0,0,pbe,0
CdCs2BaBi2,0.0378,0,pbe,0
SrSbSe2F,0.1201,0,pbe,0
CaEuHfZrO6,0.3977,0,pbe,0
O6Ba2HoBi,1.9997,0,pbe,0
Li2CuBiO4,0.0,0,pbe,0
Na3BS3,2.5824000000000003,0,pbe,0
Si1F4,7.701086,0,pbe,0
Cu7S4,0.0,0,pbe,0
PdCd2Er,0.0,0,pbe,0
RhLa2Au,0.0,0,pbe,0
Zr3AlN,0.0,0,pbe,0
NbCrN2,0.0,0,pbe,0
Na2Se4SnHg,1.0203,0,pbe,0
Ni2RhTe2,0.0,0,pbe,0
B2YMo,0.0,0,pbe,0
P4Rh2Ba,0.0,0,pbe,0
CaYbAl4,0.0,0,pbe,0
Mg2AsRu2,0.0,0,pbe,0
NaPSr,0.6968,0,pbe,0
KSe2,0.0,0,pbe,0
NaPrHfNbO6,0.0,0,pbe,0
P2Ta,0.0,0,pbe,0
PmEuTl2,0.0,0,pbe,0
Er3Mn3Ga2Si,0.0,0,pbe,0
Al3Zn4,0.0,0,pbe,0
H3Ti3Au,0.0,0,pbe,0
Sn2Pb5N6,0.9045,0,pbe,0
YAgCd,0.0,0,pbe,0
Gd(SiIr)2,0.0,0,pbe,0
SrSb,0.0,0,pbe,0
Li2AsRb,0.6327,0,pbe,0
ErNiB4,0.0,0,pbe,0
Br3SnTl,0.0124,0,pbe,0
Na6MnCl8,2.5584,0,pbe,0
Nd4Au2O9,2.0717,0,pbe,0
Rb2H4Pt,3.2877,0,pbe,0
F6RbW,0.0,0,pbe,0
ErCu5Sn,0.0,0,pbe,0
Rb3ErO3,2.0429,0,pbe,0
Zn2TmAc,0.0,0,pbe,0
HCa2Ba,0.0,0,pbe,0
O6MgLa2Pt,2.2504,0,pbe,0
Sc2Te(SeO5)2,3.493899999999999,0,pbe,0
CaCu4Pb,0.0,0,pbe,0
GdInCu4,0.0,0,pbe,0
Mg2GeRh,0.0,0,pbe,0
O3SbDy3,0.3568,0,pbe,0
U12Ge3Te20,0.0,0,pbe,0
ZrTe3,0.0,0,pbe,0
MgSnAsO5,1.289199999999999,0,pbe,0
La5Cu6S7O4,0.0,0,pbe,0
S2CoBi,0.0,0,pbe,0
Ag2Al2Se4,1.137147,0,pbe,0
TiBe2Ir,0.0,0,pbe,0
O8RbMo2Eu,0.0,0,pbe,0
Y3Hg5,0.0,0,pbe,0
Ni2BaBi2,0.0,0,pbe,0
Ba2Sb2O7,1.291199999999999,0,pbe,0
Na4Ca2SiAs4,0.631899999999999,0,pbe,0
La3NbP2(SO6)4,2.3312,0,pbe,0
Yb3Al,0.0,0,pbe,0
Fe4Ni5,0.0,0,pbe,0
I6Cs2Nd,0.0,0,pbe,0
InP2H4NO8,0.2084,0,pbe,0
AsZr2Pt,0.0,0,pbe,0
LiO7As2Lu,3.5191,0,pbe,0
ZrPdPb,0.3845,0,pbe,0
PrSO,2.0137,0,pbe,0
Ti2Sb(PO4)3,0.0,0,pbe,0
CuBr6Rb2Ce,0.1219,0,pbe,0
O2MoBi,0.0,0,pbe,0
CdSmAu,0.0,0,pbe,0
K2CeH2S3O13,1.017299999999999,0,pbe,0
NdB12,0.0,0,pbe,0
H4N2O8Mg,3.5608,0,pbe,0
AlLu2Ir2,0.0,0,pbe,0
CeMgTl,0.0,0,pbe,0
Li2F8SrDy,0.0,0,pbe,0
Cu2ZnSr,0.0,0,pbe,0
Rb4SnSb6,1.062999999999999,0,pbe,0
H6CSN2O,3.6624,0,pbe,0
PrSb,0.0,0,pbe,0
Li2C2Ni,0.0,0,pbe,0
La2Zn5Pb,0.0,0,pbe,0
MoTa7,0.0,0,pbe,0
Cu2GeTe4Hg,0.0,0,pbe,0
CsLa3,0.0,0,pbe,0
N2In3Ho7,0.0,0,pbe,0
B2Al2Mn3,0.0,0,pbe,0
MgSnHo,0.0,0,pbe,0
RbH6C2S2NO4,5.3703,0,pbe,0
Sc5(In2Ni)2,0.0,0,pbe,0
