formula,bg,formation_energy,mp-id,fidelity,bg_category
TiGe3Th,0.0,-0.0345183,,2,3.0
RuTe2Nd6,0.0,-0.0420242,,2,3.0
AgCe2Tl,0.0,-0.0484898999999999,,2,3.0
O6ZrBa2Pr,0.0,-0.0222382,,2,3.0
C2CrPr,0.0,-0.0206360999999999,,2,3.0
FeTa2Pt,0.0,-0.0557582,,2,3.0
Ni4SnTb,0.0,-0.0249134,,2,3.0
OPCdTh,0.8923,-0.0377025,,2,3.0
AsHo2Bi,0.0,-0.0504787,,2,3.0
CuGeHo,0.0,-0.0285387,,2,3.0
FeZrTa,0.0,-0.0385349,,2,3.0
H4PdLa,0.0,-0.0155334,,2,3.0
O6AgBa2Lu,0.414,-0.0225701,,2,3.0
Al2CuHf6,0.0,-0.0454471,,2,3.0
CdIn2Ir2,0.0,-0.0479659,,2,3.0
SiAu3,0.0,-0.0543757999999999,,2,3.0
Cd2Pt2Hg,0.0,-0.0540953999999999,,2,3.0
H5Nd2Os,0.0,-0.0225985,,2,3.0
H4O7Na2Te2,3.5867,-0.0106773,,2,3.0
InI2,0.0,-0.0360471999999999,,2,3.0
Ru2PdHo3,0.0,-0.0422775,,2,3.0
Fe5Ho,0.0,-0.0232712,,2,3.0
Cd3Hg5,0.0,-0.0539848,,2,3.0
OTi3Pt,0.0,-0.026626,,2,3.0
AgCd2Ce,0.0,-0.0343573,,2,3.0
RhWPt2,0.0,-0.0612635999999999,,2,3.0
BPt6U2,0.0,-0.0712407999999999,,2,3.0
NaSn2Ir2,0.0,-0.0438237,,2,3.0
LiCdPb,0.0,-0.0364027,,2,3.0
BYIr3,0.0,-0.0504424,,2,3.0
HoAu4,0.0,-0.0658443,,2,3.0
Na3KHg,0.0,-0.0179548,,2,3.0
SiZrIr,0.0,-0.0385527,,2,3.0
BN3Mg3,1.2927,-0.0082634,,2,3.0
PCuTa2,0.0,-0.0401976999999999,,2,3.0
F6MnMo,0.0,-0.0119858,,2,3.0
Al3Ho4,0.0,-0.0316371,,2,3.0
ClSr2Au,0.0292,-0.0318928,,2,3.0
K2CuTe2,0.0,-0.021987,,2,3.0
Ni2SbHf2,0.0,-0.0396133,,2,3.0
Cu2Ga3Pr,0.0,-0.0209625,,2,3.0
Li2RbSb,0.8026,-0.016331,,2,3.0
AlBr3Ce3,0.0,-0.0298114999999999,,2,3.0
NiSb2Pr2,0.0,-0.0365285,,2,3.0
CaTcLa2,0.0,-0.0326702,,2,3.0
Li2OF3Mn,0.9669,-0.0084982,,2,3.0
Mg2SeTe,2.246,-0.0180258,,2,3.0
LiGaRh2,0.0,-0.0221418,,2,3.0
Li3O6V2Fe,0.0,-0.0104429,,2,3.0
MgPbPu,0.0,-0.063756,,2,3.0
OF5Cs2Ta,4.9761,-0.0217118,,2,3.0
Al4Nb2Hf,0.0,-0.0232441,,2,3.0
Al2Y2Ag,0.0,-0.0209864,,2,3.0
CaHgPb2,0.0,-0.0577755,,2,3.0
PMnTa,0.0,-0.0324908,,2,3.0
LiO6NbW,2.3755,-0.0183400999999999,,2,3.0
HK2Br,3.7044,-0.0109334,,2,3.0
CoMoIr2,0.0,-0.0488571,,2,3.0
RhPdPm2,0.0,-0.0394638,,2,3.0
MgSc3Cd2,0.0,-0.0183912,,2,3.0
Se4Ag2SnEu,0.0,-0.0297996,,2,3.0
Ga3Rh2Er2,0.0,-0.031987,,2,3.0
BNi6Y2,0.0,-0.0181697,,2,3.0
CrSm6Bi2,0.0,-0.0496229,,2,3.0
O3NiNd,0.0,-0.0182353,,2,3.0
MgS7Ho4,0.8275,-0.0245833,,2,3.0
LiMgZn,0.0,-0.0071172,,2,3.0
SiNiRu,0.0,-0.0208381,,2,3.0
MnCo2Te3,0.0,-0.0276091,,2,3.0
H6Ba2Pt,1.5016,-0.0195594,,2,3.0
Ti6PtPb2,0.0,-0.0357636,,2,3.0
O2ZnBr2Pb2,2.1922,-0.0321385,,2,3.0
YRh2Ta,0.0,-0.0411983,,2,3.0
KNiHg3,0.0,-0.0459819,,2,3.0
Si2Ru3Pr,0.0,-0.0286776,,2,3.0
Zn2Rh3Ba,0.0,-0.0282942,,2,3.0
CaCdPb,0.0,-0.0392158,,2,3.0
ClZnBr,3.2918,-0.0146999,,2,3.0
Si4Tb3Au4,0.0,-0.0424435,,2,3.0
H3SrTc,0.0,-0.0138616,,2,3.0
