formula,bg,formation_energy,mp-id,fidelity,bg_category
F6ZnCs3,0.0,-0.0173788,,3,3.0
CaInBa2,0.0,-0.0308183,,3,3.0
Al7Ho3Au2,0.0,-0.0289954,,3,3.0
Co4Ga3Ge,0.0,-0.0173322,,3,3.0
BO4F3Na2S,6.5913,-0.0080033999999999,,3,3.0
Y2CdLa,0.0,-0.0325055,,3,3.0
GeNbTm,0.0,-0.035417,,3,3.0
Zn2GeIr,0.0,-0.0296469,,3,3.0
AlSr2Au2,0.0,-0.0389476999999999,,3,3.0
O7Fe2Sb2Ba,1.6339,-0.0179708,,3,3.0
P4Ca3Cu2Cd2,0.5252,-0.0155258,,3,3.0
Cl8Sc5,0.0,-0.012378,,3,3.0
ScNi2Rh,0.0,-0.0205902,,3,3.0
ScFe4Ta,0.0,-0.0257278,,3,3.0
Li6O6KIr,0.0,-0.0111504999999999,,3,3.0
FK3Au,0.0,-0.0208344,,3,3.0
BrLa2Pt,0.0,-0.0455589999999999,,3,3.0
S8Rh3,0.0,-0.0167031999999999,,3,3.0
MnPt8,0.0,-0.064681,,3,3.0
H8CrZn2Ce,0.0,-0.0099163,,3,3.0
F6ZnNb,0.0,-0.0113142,,3,3.0
LiLa2Ir2,0.0,-0.0467329,,3,3.0
Al9SrPd2,0.0,-0.0135862999999999,,3,3.0
NaNiGa2,0.0,-0.0135112,,3,3.0
CdLaAu,0.0,-0.0484111,,3,3.0
H6KCrRb2,3.184,-0.0092196,,3,3.0
BeGeRu2,0.0,-0.0236463,,3,3.0
OP2Ti2Ba,0.0,-0.0182395,,3,3.0
Ga3Ge2Ho3Au,0.0,-0.0344992,,3,3.0
F6PbTh,6.0248,-0.0276249,,3,3.0
Ca3Co2Cu2As4,0.0,-0.016573,,3,3.0
Cl3GaTb3,0.0,-0.0274991999999999,,3,3.0
MgCaTe2,2.1268,-0.0236449,,3,3.0
CrMo2Ta,0.0,-0.0387384,,3,3.0
Fe2SnCe,0.0,-0.0294532,,3,3.0
AlHfIr,0.0,-0.0483192999999999,,3,3.0
GaBr3La3,0.0,-0.0307458,,3,3.0
O4NdTb,2.5678,-0.022259,,3,3.0
F6Rb2Gd,0.0,-0.0167128,,3,3.0
P2Ni2Ba,0.0,-0.0193698,,3,3.0
NaCoAs,0.0,-0.0142241,,3,3.0
CaSrHg2,0.0,-0.0427736,,3,3.0
NaAs6Sn6Ba2,0.0,-0.0284864999999999,,3,3.0
SiPd3Tm2,0.0,-0.0363156,,3,3.0
RhSnPu,0.0,-0.0603974,,3,3.0
In3Lu3Au2,0.0,-0.0514273,,3,3.0
Si10ScY4,0.0,-0.0155368,,3,3.0
Cl5Tl,0.5343,-0.018977,,3,3.0
Ni2GaTh2,0.0,-0.0486597999999999,,3,3.0
LiCl6ZrCs2,0.0,-0.0177669,,3,3.0
O7CaGe2Ce,2.5859,-0.0149985,,3,3.0
O4BrBi2Pu,0.0,-0.0407635,,3,3.0
K2MnI6,0.0,-0.029303,,3,3.0
S3KCr2,0.0,-0.013221,,3,3.0
F4NaLu,7.655,-0.0162662,,3,3.0
Zn2LuAu,0.0,-0.0385403999999999,,3,3.0
H4NAgTe4W,0.5077,-0.0249338,,3,3.0
F6K2Mn,3.535,-0.009229,,3,3.0
H2GeRu2,0.0,-0.0191409,,3,3.0
Zr5Rh3,0.0,-0.0324835,,3,3.0
Rh2PrLu,0.0,-0.0424016,,3,3.0
HRuTa2Au,0.0,-0.048356,,3,3.0
RhSbTm,0.0,-0.042099,,3,3.0
B4TiCr,0.0,-0.0114319,,3,3.0
LiIn2Hg,0.0,-0.0345362,,3,3.0
KTl2,0.0,-0.0512069,,3,3.0
O6Al3Y,5.2162,-0.0123544,,3,3.0
BRh3Sn,0.0,-0.0293831999999999,,3,3.0
Ge2Ag2Eu,0.0,-0.0313472,,3,3.0
Ga2BaBi2,0.0,-0.0462580999999999,,3,3.0
NaZn2Bi2,0.0,-0.0377905,,3,3.0
MnNi4Tm,0.0,-0.0228917,,3,3.0
FeLu6Pb2,0.0,-0.0561578,,3,3.0
MgIr7,0.0,-0.0630148,,3,3.0
SiSrAu2,0.0,-0.0433101,,3,3.0
CrFeGaSe4,0.0,-0.0195159,,3,3.0
Al2PdEu,0.0,-0.0262613999999999,,3,3.0
Pd2InLa2,0.0,-0.0379684,,3,3.0
BHo2Ir6,0.0,-0.0599327,,3,3.0
ZrTe2Pb,0.0,-0.0458724,,3,3.0
GaAg2Au2,0.0,-0.0435345,,3,3.0
CaAs2Rh2,0.0,-0.0244256999999999,,3,3.0
P2Cu4Zr3,0.0,-0.0200597,,3,3.0
N6Cr2Tb3,0.0,-0.0224773999999999,,3,3.0
N2ScDy,0.2081,-0.0222208,,3,3.0
Al4Ge2Y3,0.0,-0.0176175,,3,3.0
MgY2Ru2,0.0,-0.026409,,3,3.0
GeTcHf,0.0,-0.0395682,,3,3.0
MgNiIn5,0.0,-0.0269344,,3,3.0
O7NaS2K,6.077,-0.0087295999999999,,3,3.0
SnHg2Pb2,0.0,-0.0646626,,3,3.0
Na2P2K,0.0,-0.0079318,,3,3.0
O2NiEr,0.0,-0.0222296,,3,3.0
HO2Y,5.4682,-0.013815,,3,3.0
Si2Ru3Ho,0.0,-0.0296528,,3,3.0
Ti3In3Au2,0.0,-0.0362505,,3,3.0
Ru2OsPt,0.0,-0.0529055,,3,3.0
Si2La2Tl,0.0,-0.0364069999999999,,3,3.0
PSc2Te2,0.0,-0.0238961,,3,3.0
Be2F5Rb,8.0125,-0.0092258999999999,,3,3.0
GeTe4Er,0.0,-0.0369831,,3,3.0
Na2CsBi2,0.0,-0.0410634999999999,,3,3.0
NiIn5Tb,0.0,-0.0332213,,3,3.0
Li2SiPt,0.0,-0.0220311999999999,,3,3.0
Mn3Ni2Y,0.0,-0.0194863,,3,3.0
C2SiZr3,0.0,-0.0212986,,3,3.0
O4MnSb,0.0,-0.0152177,,3,3.0
Ga3Hf2,0.0,-0.0354722,,3,3.0
Si2Zr2Nb,0.0,-0.0238042,,3,3.0
ScCrNi4,0.0,-0.0165276,,3,3.0
CuBr6Rb2Ag,0.0,-0.0214939,,3,3.0
NaPOs,0.0,-0.0292636,,3,3.0
PCaU,0.0,-0.0419515,,3,3.0
Ga6BaPt,0.0,-0.0265777,,3,3.0
ZnTaAu2,0.0,-0.0548143,,3,3.0
Si4Co4Dy3,0.0,-0.0236423999999999,,3,3.0
MgGa2Au,0.0,-0.0271418,,3,3.0
NaNi3Te2,0.0,-0.0215194,,3,3.0
B4Fe5Dy2,0.0,-0.0200126,,3,3.0
NiCuTe,0.0,-0.0229791999999999,,3,3.0
PBr3,3.195,-0.0175467,,3,3.0
ZnDyTl,0.0,-0.0450225999999999,,3,3.0
LiGe2Dy2,0.0,-0.0280145,,3,3.0
Hf2Os,0.0,-0.0663107,,3,3.0
Mg2Rh2Cd,0.0,-0.0219743,,3,3.0
CuGeNd2,0.0,-0.030848,,3,3.0
GaSrPd,0.0,-0.0245336,,3,3.0
Cl6Te4U,0.0,-0.0283177999999999,,3,3.0
O2Na2KPt,0.2468,-0.01774,,3,3.0
InLaTl,0.0,-0.0502255,,3,3.0
CMgMn2,0.0,-0.0129907,,3,3.0
LuIrBi,0.0,-0.0691597,,3,3.0
PNiTa,0.0,-0.0318212,,3,3.0
CaI3Hg,0.0,-0.0383943999999999,,3,3.0
AsSbLa2,0.0,-0.0375013,,3,3.0
Al3Co2Zn,0.0,-0.0123126,,3,3.0
ScCo4Cu,0.0,-0.0165217,,3,3.0
LiAl2Pm,0.0,-0.0157005,,3,3.0
Zn4Pt,0.0977,-0.0252125,,3,3.0
N2ScU,0.0,-0.0357771,,3,3.0
O3NiY,0.0,-0.015117,,3,3.0
O6NaTeBaLa,3.7358,-0.0185839,,3,3.0
SnCsPt2,0.0,-0.0538628,,3,3.0
SnOsPa,0.0,-0.0696262,,3,3.0
NiRu2Tb2,0.0,-0.0362353,,3,3.0
CrRu2,0.0,-0.0292914,,3,3.0
CrRbAgTe3,0.0,-0.0309322,,3,3.0
GeSe4Nb,0.0,-0.0226116,,3,3.0
N2NaCr,0.0,-0.0108638,,3,3.0
O8P2TiRb,0.0,-0.0115041,,3,3.0
